,coords,count_cleaned_intersections,count_nonplanar_intersections,count_planar_intersections,distance,edge_length_ratio,is_planar,mean_edge_length,mean_planar_segment_length,name,network_type,nodes,overcount_nonplanar_cleaned,overcount_planar_cleaned,overcount_planar_nonplanar,phi,runtime
44,"(37.74076538524091, -122.15185400963037)",181,187,189,805,0.9942692043202556,True,129.1446825485293,128.40458075971821,"57_Oakland, California, USA",drive,244,1.0331491712707181,1.0441988950276244,1.0106951871657754,0.9894179894179894,17.095001459121704
45,"(37.790818490586474, -122.15712240316772)",27,33,33,805,0.9999999152065049,True,173.47623406953738,173.47621935988118,"58_Oakland, California, USA",drive,57,1.2222222222222223,1.2222222222222223,1.0,1.0,5.390001535415649
46,"(37.82130750465508, -122.26063951045856)",194,248,385,805,0.7116103528493439,False,133.31839950150373,94.87075331057487,"60_Oakland, California, USA",drive,333,1.2783505154639174,1.9845360824742269,1.5524193548387097,0.6441558441558441,26.2330219745636
47,"(37.817475419171096, -122.18435186284356)",23,26,26,805,0.9999999327148404,True,212.67826202573758,212.6782477156468,"61_Oakland, California, USA",drive,50,1.1304347826086956,1.1304347826086956,1.0,1.0,8.617982149124146
48,"(37.73370397835989, -122.13655129542508)",121,126,141,805,0.9219711393281047,False,150.81458731565712,139.04669689471433,"62_Oakland, California, USA",drive,173,1.0413223140495869,1.165289256198347,1.119047619047619,0.8936170212765957,11.862001419067383
49,"(37.80695166300246, -122.22116178126853)",175,214,225,805,0.9667993265310727,True,120.9846161174534,116.9678453829743,"65_Oakland, California, USA",drive,293,1.2228571428571429,1.2857142857142858,1.0514018691588785,0.9511111111111111,20.626019716262817
50,"(37.79127740637623, -122.24664866013019)",187,210,212,805,0.9880158240701098,True,116.5864139765506,115.1892218804206,"66_Oakland, California, USA",drive,255,1.1229946524064172,1.1336898395721926,1.0095238095238095,0.9905660377358491,20.26698350906372
51,"(37.71106561125392, -122.2167622776777)",8,9,9,805,0.9999999598021044,True,298.2380737591085,298.23806177056554,"67_Oakland, California, USA",drive,23,1.125,1.125,1.0,1.0,2.7060022354125977
52,"(37.86420681045377, -122.23111139983314)",34,35,35,805,0.9999999468165703,True,271.16821106152616,271.1681966398707,"68_Oakland, California, USA",drive,68,1.0294117647058822,1.0294117647058822,1.0,1.0,9.480000495910645
53,"(37.73692209226623, -122.20944442428478)",29,34,34,805,0.9999999243859811,True,194.76249970595075,194.7624849791754,"70_Oakland, California, USA",drive,55,1.1724137931034482,1.1724137931034482,1.0,1.0,5.897019386291504
54,"(37.720569418335664, -122.21737418779978)",8,9,9,805,0.9999999657313058,True,333.02776550224104,333.0277540898144,"71_Oakland, California, USA",drive,25,1.125,1.125,1.0,1.0,3.272980213165283
55,"(37.75810088313347, -122.19569348672542)",130,137,145,805,0.9616121536171095,False,130.64648343199292,125.63124629554072,"72_Oakland, California, USA",drive,189,1.0538461538461539,1.1153846153846154,1.0583941605839415,0.9448275862068967,12.659001588821411
56,"(37.782686674741825, -122.15885302024348)",31,36,38,805,0.9612902491151748,True,189.34508080325827,182.01557989409704,"74_Oakland, California, USA",drive,79,1.1612903225806452,1.2258064516129032,1.0555555555555556,0.9473684210526315,7.060996770858765
57,"(37.79236763309082, -122.15706741494202)",26,33,33,805,0.9999999166239839,True,177.4790267801462,177.479011982652,"76_Oakland, California, USA",drive,57,1.2692307692307692,1.2692307692307692,1.0,1.0,6.166999101638794
58,"(37.752944947672226, -122.19457663723121)",97,103,111,805,0.9494948454134396,False,157.98176995105808,150.00287623782148,"77_Oakland, California, USA",drive,157,1.0618556701030928,1.1443298969072164,1.0776699029126213,0.927927927927928,10.86000108718872
59,"(37.817042749357775, -122.23718885283354)",180,191,192,805,0.9940028629107837,True,130.37704038556356,129.59515140108505,"78_Oakland, California, USA",drive,246,1.0611111111111111,1.0666666666666667,1.0052356020942408,0.9947916666666667,19.939000368118286
